                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4618,                 4.1673,                 2.1608,                 1.3278,                0.19911,                    0.2,                 0.1255,                0.08661,                0.19792,                0.18462,                0.11958,                0.06292,                0.85774,                 2.8371,                 2.5939,                 1.0767,                    0.1,                      0,                      0
                      1,                  1.566,                  3.743,                 2.1511,                 1.3214,                0.19049,                0.24615,                0.12455,                 0.0856,                0.18408,                    0.2,                0.11827,                0.06215,                 0.8605,                 2.6594,                  2.579,                 1.0765,                0.09909,               9.01e-05,               9.01e-05
                      2,                 1.5151,                  3.296,                 2.1489,                 1.3427,                0.18536,                0.24615,                 0.1138,                0.08266,                0.19153,                0.24615,                0.10674,                 0.0582,                0.85615,                 2.6225,                 2.5277,                 1.0723,                0.09816,              0.0001604,              0.0001604
                      3,                 1.4426,                 3.2114,                 1.9046,                 1.2572,                0.20683,                0.27681,                 0.1255,                 0.0892,                0.20355,                0.26154,                0.11927,                0.06277,                0.84365,                  2.524,                 2.4376,                 1.0617,               0.097211,              0.0002109,              0.0002109
                      4,                  1.604,                 3.8364,                 2.4749,                 1.2974,                0.19923,                0.29231,                0.14185,                0.10108,                0.20488,                0.29231,                0.13237,                0.06937,                  0.834,                 2.4476,                 2.3382,                 1.0556,               0.096242,              0.0002416,              0.0002416
                      5,                 1.4377,                  3.619,                  1.957,                 1.2575,                0.25571,                0.36923,                0.16431,                 0.1231,                0.25317,                0.35385,                 0.1546,                0.08833,                0.83326,                 2.4123,                 2.2334,                 1.0467,               0.095253,              0.0002525,              0.0002525
                      6,                 1.4159,                 3.2417,                 1.8252,                 1.2998,                 0.2771,                0.36923,                0.17768,                0.12989,                0.26419,                0.33846,                0.16857,                  0.097,                0.83064,                 2.3718,                 2.1454,                 1.0416,               0.094244,              0.0002436,              0.0002436
                      7,                 1.3914,                 3.1811,                 1.8616,                 1.2924,                0.30565,                0.36923,                0.21789,                0.16095,                0.29195,                0.35385,                0.20609,                 0.1185,                0.82493,                 2.3781,                 2.0767,                 1.0361,               0.093215,              0.0002149,              0.0002149
                      8,                 1.5265,                 3.6038,                 1.9899,                 1.2295,                0.30253,                0.38462,                0.21905,                0.16471,                0.28893,                0.36923,                0.20795,                0.12287,                 0.8249,                 2.3646,                 2.0592,                 1.0336,               0.092166,              0.0001664,              0.0001664
                      9,                 1.3024,                 3.2621,                 1.9417,                 1.1966,                0.32949,                0.38462,                 0.2327,                0.17168,                0.31451,                0.36923,                0.21925,                0.12339,                0.83272,                 2.3603,                 2.0179,                 1.0314,               0.091098,               9.81e-05,               9.81e-05
